views;respects;tot_recommendations
3088;3;36
6556;12;316
3159;7;384
22667;102;361
9446;23;36
3203;7;31
3736;4;406
7796;15;0
4298;20;14
42331;111;316
12356;14;0
5558;4;316
63509;23;316
237298;38;4
8624;22;316
6450;15;361
43825;46;64
4732;9;334
1115;3;361
7448;7;65
88519;149;324
3940;8;344
34327;5;316
22120;78;316
6226;15;411
2026;7;316
9479;28;44
3285;8;44
66982;117;10
12949;21;361
2572;4;418
10994;12;0
6226;23;42
11705;11;320
3723;9;316
11995;33;2
6382;32;321
8218;39;326
8678;18;47
2864;3;7
12775;14;36
5480;13;12
3485;15;399
26434;28;361
